"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "YAML", "XML", "Docker", "JavaScript", "Prisma", "Ignore", "JavaScript JSX", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\application\handlers\completedEvent.handler.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\application\review.service.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\domain\interfaces\repo.interface.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\domain\interfaces\review.interfaces.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\infrastructure\repo\IReview.repository.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\review.controller.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\review.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\dto\password.dto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\dto\settings.dto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\spec\user.service.spec.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 114
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\user.controller.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\user.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\user\user.service.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Andriisav\Desktop\portfolio projects\booking\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\eslint.config.js", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\package-lock.json", "JSON", 0, 3443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3444
"c:\Users\Andriisav\Desktop\portfolio projects\booking\frontend\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
